departmentId,resourceId,serviceType,unitsConsumed,timestamp 
Engineering,eng-server-01,COMPUTE,120.50,2025-12-18T08:30:00Z 
Engineering,eng-db-primary,DATABASE,300.00,2025-12-17T09:00:00Z 
Engineering,eng-server-01,COMPUTE,45.00,2025-12-16T14:20:00Z 
Engineering,eng-archive,STORAGE,5000.00,2025-12-01T10:00:00Z 
Sales,sal-crm-core,DATABASE,150.00,2025-12-16T11:45:00Z 
Sales,sal-leads,STORAGE,200.00,2025-12-16T12:00:00Z 
Sales,sal-crm-core,DATABASE,75.00,2025-12-18T09:15:00Z 
HR,hr-files,STORAGE,1000.00,2025-12-15T08:00:00Z 
HR,hr-portal,COMPUTE,20.00,2025-12-15T08:05:00Z 
HR,hr-legacy,STORAGE,500.00,2025-11-20T09:00:00Z 
Marketing,mkt-campaign,COMPUTE,300.00,2025-12-18T10:00:00Z 
Engineering,eng-gpu-01,COMPUTE,50.00,2025-12-18T10:30:00Z 
DataScience,ds-cluster-01,COMPUTE,600.00,2025-12-17T15:00:00Z 
DataScience,ds-storage-raw,STORAGE,8000.00,2025-12-16T09:00:00Z 
DataScience,ds-cluster-01,COMPUTE,120.00,2025-12-15T10:00:00Z 
Engineering,eng-ci-cd,COMPUTE,15.00,2025-12-18T16:00:00Z 
Sales,sal-web-host,COMPUTE,80.00,2025-12-14T11:00:00Z 
Sales,sal-web-host,COMPUTE,90.00,2025-12-15T11:00:00Z 
Marketing,mkt-assets,STORAGE,400.00,2025-12-17T13:30:00Z 
Marketing,mkt-analytics,DATABASE,110.00,2025-12-18T14:00:00Z 
HR,hr-payroll,DATABASE,50.00,2025-12-16T10:00:00Z 
Engineering,eng-db-replica,DATABASE,280.00,2025-12-17T09:30:00Z 
DataScience,ds-model-v1,STORAGE,150.00,2025-11-25T12:00:00Z 
Engineering,eng-server-02,COMPUTE,100.00,2025-12-18T09:00:00Z 
Sales,sal-leads,STORAGE,50.00,2025-12-17T12:00:00Z 
Marketing,mkt-social,COMPUTE,45.00,2025-12-16T16:45:00Z 
HR,hr-training,COMPUTE,30.00,2025-12-14T09:00:00Z 
Engineering,eng-logs,STORAGE,1200.00,2025-12-18T00:00:00Z 
DataScience,ds-gpu-rent,COMPUTE,900.00,2025-12-17T20:00:00Z 
Sales,sal-demo,COMPUTE,25.00,2025-11-30T10:00:00Z 
Marketing,mkt-campaign,COMPUTE,100.00,2025-12-17T10:00:00Z 
Engineering,eng-server-01,COMPUTE,20.00,2025-12-18T18:00:00Z 
Engineering,eng-testing,COMPUTE,200.00,2025-12-16T08:00:00Z 
HR,hr-files,STORAGE,50.00,2025-12-18T08:00:00Z 
DataScience,ds-storage-temp,STORAGE,3000.00,2025-12-18T11:00:00Z 
Engineering,eng-db-graph,DATABASE,400.00,2025-12-15T14:00:00Z 
Sales,sal-crm-backup,STORAGE,600.00,2025-12-13T02:00:00Z 
Marketing,mkt-mail,COMPUTE,60.00,2025-12-16T13:00:00Z 
HR,hr-recruiting,DATABASE,40.00,2025-12-17T15:30:00Z 
DataScience,ds-notebook,COMPUTE,10.00,2025-12-18T12:00:00Z 
Engineering,eng-monitor,COMPUTE,5.00,2025-12-18T23:59:00Z 
Sales,sal-dash,COMPUTE,110.00,2025-12-16T10:00:00Z 
Marketing,mkt-video,STORAGE,2000.00,2025-11-28T15:00:00Z 
Engineering,eng-server-03,COMPUTE,130.00,2025-12-17T07:00:00Z 
DataScience,ds-cluster-02,COMPUTE,500.00,2025-12-16T18:00:00Z 
HR,hr-benefits,COMPUTE,15.00,2025-12-15T09:30:00Z 
Sales,sal-chat,DATABASE,80.00,2025-12-18T13:00:00Z 
Marketing,mkt-web,COMPUTE,200.00,2025-12-16T11:00:00Z 
Engineering,eng-server-01,COMPUTE,10.00,2025-12-18T12:00:00Z 
DataScience,ds-archive,STORAGE,10000.00,2025-11-15T10:00:00Z 
